#Model	TP	FP	FN	TN	Specificity	Precision	Recall
Model1	176	110	45	505	0.82	0.62	0.8
Model2	176	110	45	505	0.82	0.62	0.8
Model3	176	110	45	505	0.82	0.62	0.8
Model4	176	110	45	505	0.82	0.62	0.8
Model5	176	110	45	505	0.82	0.62	0.8
Model6	176	110	45	505	0.82	0.62	0.8
Model7	176	110	45	505	0.82	0.62	0.8
Model8	176	110	45	505	0.82	0.62	0.8
